Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.9548693586698337,0.9974847203541206,0.9566503740688925,0.9548693586698337,0.9548089207848425,0.9461396426550053
Decision Tree,0.8622327790973872,0.9172805711626401,0.8632726592620287,0.8622327790973872,0.861652159274042,0.8348130787517173
KNN,0.8802171700033933,0.9764370014721141,0.8883308405584459,0.8802171700033933,0.8790250719611123,0.8578056394877336
Gaussian Naive Bayes,0.7702748557855447,0.9584277175774158,0.794683370739926,0.7702748557855447,0.7687700182193763,0.7286085771016947
Random Forest,0.9260264675941635,0.9951260716733799,0.9273770982224787,0.9260264675941635,0.9259570749363834,0.9113301316047231
